"Laboratory","Facility","Country","City","Sample Population","Sample Sub-Population","Reference Sample Type","Sample Set","Reference Method","Repeats","Blinding","Test Type","Test Format","Use Case","Test Name","Manufacturer","Catalog Number","Lot Number","Index Sample Type","Target","Antigen Used for Detection","RNA Extraction Kit","Estimated LoD","LoD Unit","Higher Cut-off","Lower Cut-off","Ct Value","Days of Sickness","Total Positive","Total Negative","True Positive","True Negative","Sensitivity","Specificity","Link to Publication","DOI","Comments"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","22","100","9","100","40.9","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","92","100","68","100","73.9","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","100","100","95","100","95","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","214","100","172","100","80.4","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","22","100","7","100","31.8","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","92","100","59","100","64.1","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","100","100","80","100","80","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","214","100","146","100","68.2","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"Xixi Hospital of Hangzhou","Hospital","China","Hangzhou","Confirmed COVID-19 patients","Not available","Oropharyngeal swabs; Sputum","Retrospective set","RT-PCR","Duplicates","Not available","Antibody","Chemiluminescence immunoassay (CLIA)","Detection of current infection","SARS-CoV-2 IgM/IgG CLIA kits","Shenzhen Yhlo Biotech Co. Ltd","Not available","Not available","Serum","IgG","Not available","Not available","10","arbitrary units (AU) / mL","Not available","Not available","Not available","Intermediate (~8-14)","Not available","Not available","Not available","Not available","Not available","Not available","https://www.ijidonline.com/article/S1201-9712(20)30198-3/pdf","10.1016/j.ijid.2020.03.065","The median duration from first symptoms to serological testing was 16 days (IQR 9?20 days)."
"Xixi Hospital of Hangzhou","Hospital","China","Hangzhou","Confirmed COVID-19 patients","Not available","Oropharyngeal swabs; Sputum","Retrospective set","RT-PCR","Duplicates","Not available","Antibody","Chemiluminescence immunoassay (CLIA)","Detection of current infection","SARS-CoV-2 IgM/IgG CLIA kits","Shenzhen Yhlo Biotech Co. Ltd","Not available","Not available","Serum","IgG","Not available","Not available","10","arbitrary units (AU) / mL","Not available","Not available","Not available","Late (>14)","Not available","Not available","Not available","Not available","Not available","Not available","https://www.ijidonline.com/article/S1201-9712(20)30198-3/pdf","10.1016/j.ijid.2020.03.065","The median duration from first symptoms to serological testing was 16 days (IQR 9?20 days)."
"Xixi Hospital of Hangzhou","Hospital","China","Hangzhou","Confirmed COVID-19 patients","Not available","Oropharyngeal swabs; Sputum","Retrospective set","RT-PCR","Duplicates","Not available","Antibody","Chemiluminescence immunoassay (CLIA)","Detection of current infection","SARS-CoV-2 IgM/IgG CLIA kits","Shenzhen Yhlo Biotech Co. Ltd","Not available","Not available","Serum","IgG","Not available","Not available","10","arbitrary units (AU) / mL","Not available","Not available","Not available","Overall","27","33","24","30","88.9","Not available","https://www.ijidonline.com/article/S1201-9712(20)30198-3/pdf","10.1016/j.ijid.2020.03.065","The median duration from first symptoms to serological testing was 16 days (IQR 9?20 days)."
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Beijing Hotgen Biotech Co., Ltd.","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","22","100","9","100","40.9","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Beijing Hotgen Biotech Co., Ltd.","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","92","100","60","100","65.2","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Beijing Hotgen Biotech Co., Ltd.","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","100","100","90","100","90","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Beijing Hotgen Biotech Co., Ltd.","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","214","100","159","100","74.3","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"Xixi Hospital of Hangzhou","Hospital","China","Hangzhou","Confirmed COVID-19 patients","Not available","Oropharyngeal swabs; Sputum","Retrospective set","RT-PCR","Duplicates","Not available","Antibody","Chemiluminescence immunoassay (CLIA)","Detection of past infection","SARS-CoV-2 IgM/IgG CLIA kits","Shenzhen Yhlo Biotech Co. Ltd","Not available","Not available","Serum","IgM","Not available","Not available","10","arbitrary units (AU) / mL","Not available","Not available","Not available","Overall","34","Not available","19","Not available","55.9","Not available","https://www.ijidonline.com/article/S1201-9712(20)30198-3/pdf","10.1016/j.ijid.2020.03.065","Testing for viral antibody after two oral swabs taken 24h apart tested negative, without other molecular detection positive"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Beijing Hotgen Biotech Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","22","100","8","100","36.4","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Beijing Hotgen Biotech Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","92","100","64","100","69.6","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Beijing Hotgen Biotech Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","100","100","93","100","93","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Beijing Hotgen Biotech Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","214","100","165","100","77.1","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Beijing Hotgen Biotech Co., Ltd.","Not available","Not available","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","22","100","10","100","45.5","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Beijing Hotgen Biotech Co., Ltd.","Not available","Not available","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","92","100","72","100","78.3","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Beijing Hotgen Biotech Co., Ltd.","Not available","Not available","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","100","100","94","100","94","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"General Hospital of the Central Theater Command of the People?s Liberation Army (PLA)","Hospital","China","Not available","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Beijing Hotgen Biotech Co., Ltd.","Not available","Not available","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","214","100","176","100","82.2","100","https://jcm.asm.org/content/jcm/early/2020/03/27/JCM.00461-20.full.pdf","10.1128/jcm.00461-20","A median of 15 d.p.o. (range, 0?55 days)"
"National Laboratory Viruses Laboratory","Public Health","Peru","Lima","Symptomatic patients","Not available","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","No replicates","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection","2019-nCoV IgG/IgM Rapid Test Cassette","Zhejiang Orient Gene Biotech","Not available","Not available","Whole blood","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","2","26","0","24","0","92.3","https://rpmesp.ins.gob.pe/index.php/rpmesp/article/view/5534","10.17843/rpmesp.2020.372.5534","Index testing on capillary blood obtained through finger puncture"
"National Laboratory Viruses Laboratory","Public Health","Peru","Lima","Symptomatic patients","Not available","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","No replicates","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection","2019-nCoV IgG/IgM Rapid Test Cassette","Zhejiang Orient Gene Biotech","Not available","Not available","Whole blood","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","6","54","2","40","33.3","74.1","https://rpmesp.ins.gob.pe/index.php/rpmesp/article/view/5534","10.17843/rpmesp.2020.372.5534","Index testing on capillary blood obtained through finger puncture"
"National Laboratory Viruses Laboratory","Public Health","Peru","Lima","Symptomatic patients","Not available","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","No replicates","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection","2019-nCoV IgG/IgM Rapid Test Cassette","Zhejiang Orient Gene Biotech","Not available","Not available","Whole blood","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","4","17","2","13","50","76.5","https://rpmesp.ins.gob.pe/index.php/rpmesp/article/view/5534","10.17843/rpmesp.2020.372.5534","Index testing on capillary blood obtained through finger puncture"
"Xixi Hospital of Hangzhou","Hospital","China","Hangzhou","Confirmed COVID-19 patients","Not available","Oropharyngeal swabs; Sputum","Retrospective set","RT-PCR","Duplicates","Not available","Antibody","Chemiluminescence immunoassay (CLIA)","Detection of past infection","SARS-CoV-2 IgM/IgG CLIA kits","Shenzhen Yhlo Biotech Co. Ltd","Not available","Not available","Serum","IgG","Not available","Not available","10","arbitrary units (AU) / mL","Not available","Not available","Not available","Overall","34","Not available","32","Not available","94.1","Not available","https://www.ijidonline.com/article/S1201-9712(20)30198-3/pdf","10.1016/j.ijid.2020.03.065","Testing for viral antibody after two oral swabs taken 24h apart tested negative, without other molecular detection positive"
"Xixi Hospital of Hangzhou","Hospital","China","Hangzhou","Confirmed COVID-19 patients","Not available","Oropharyngeal swabs; Sputum","Retrospective set","RT-PCR","Duplicates","Not available","Antibody","Chemiluminescence immunoassay (CLIA)","Detection of current infection","SARS-CoV-2 IgM/IgG CLIA kits","Shenzhen Yhlo Biotech Co. Ltd","Not available","Not available","Serum","IgM","Not available","Not available","10","arbitrary units (AU) / mL","Not available","Not available","Not available","Intermediate (~8-14)","Not available","Not available","Not available","Not available","Not available","Not available","https://www.ijidonline.com/article/S1201-9712(20)30198-3/pdf","10.1016/j.ijid.2020.03.065","The median duration from first symptoms to serological testing was 16 days (IQR 9?20 days)."
"Xixi Hospital of Hangzhou","Hospital","China","Hangzhou","Confirmed COVID-19 patients","Not available","Oropharyngeal swabs; Sputum","Retrospective set","RT-PCR","Duplicates","Not available","Antibody","Chemiluminescence immunoassay (CLIA)","Detection of current infection","SARS-CoV-2 IgM/IgG CLIA kits","Shenzhen Yhlo Biotech Co. Ltd","Not available","Not available","Serum","IgM","Not available","Not available","10","arbitrary units (AU) / mL","Not available","Not available","Not available","Late (>14)","Not available","Not available","Not available","Not available","Not available","Not available","https://www.ijidonline.com/article/S1201-9712(20)30198-3/pdf","10.1016/j.ijid.2020.03.065","The median duration from first symptoms to serological testing was 16 days (IQR 9?20 days)."
"Xixi Hospital of Hangzhou","Hospital","China","Hangzhou","Confirmed COVID-19 patients","Not available","Oropharyngeal swabs; Sputum","Retrospective set","RT-PCR","Duplicates","Not available","Antibody","Chemiluminescence immunoassay (CLIA)","Detection of current infection","SARS-CoV-2 IgM/IgG CLIA kits","Shenzhen Yhlo Biotech Co. Ltd","Not available","Not available","Serum","IgM","Not available","Not available","10","arbitrary units (AU) / mL","Not available","Not available","Not available","Overall","27","33","13","33","48.1","100","https://www.ijidonline.com/article/S1201-9712(20)30198-3/pdf","10.1016/j.ijid.2020.03.065","The median duration from first symptoms to serological testing was 16 days (IQR 9?20 days)."
